key,value
window_title,lufus
log_window_title,lufus Log
about_window_title,Acerca de
settings_window_title,Ajustes
btn_copy_log,Copiar al portapapeles
btn_save_log,Guardar log...
dlg_save_log_title,Guardar log
save_failed_title,Guardado fallido
save_failed_body,No se pudo guardar:
settings_label_language,Lenguajes
settings_no_languages,No se encontraron lenguajes
header_drive_properties,Propiedades del disco
header_format_options,Opciones de formateo
header_status,Estatus
lbl_device,Dispositivo
lbl_boot_selection,Selección de arranque
lbl_image_option,Opción de imagen
lbl_partition_scheme,Esquema de partición
lbl_target_system,Sistema objetivo
lbl_volume_label,Etiqueta de volumen
lbl_file_system,Sistema de archivos
lbl_flash_option,Opciones de flasheo
lbl_cluster_size,Tamaño del cluster
combo_image_windows,Instalación estandar de Windows
combo_image_linux,Instalación de Linux
combo_image_format,Solo formateo
combo_partition_gpt,GPT
combo_partition_mbr,MBR
combo_target_uefi,UEFI (no CSM)
combo_target_bios,BIOS (o UEFI-CSM)
combo_cluster_4096,4096 bytes (Por defecto)
combo_cluster_8192,8192 bytes
combo_badblocks_1pass,1 pasada
combo_flash_iso,Modo iso
combo_flash_woe,Woe USB
combo_flash_ventoy,Ventoy
combo_flash_dd,DD
combo_flash_none,Ninguno
chk_quick_format,Formateo rápido
chk_extended_label,Crear etiquetas extendidas y archivos de íconos
chk_bad_blocks,Detectar bad blocks
btn_select,Seleccionar
btn_start,Empezar
btn_cancel,Cancelar
tooltip_refresh,Refrescar dispositivos USB (Ctrl+R)
tooltip_download,Descargar actualizaciones
tooltip_about,Acerca de
tooltip_settings,Ajustes
tooltip_log,Log
status_ready,Listo
status_scanning,Escaneando por dispositivos USB...
status_scan_failed,Escaneo fallido
status_flashing,Flasheando...
progress_preparing,Preparando...
progress_complete,Completado! 100%
progress_failed,Fallido
progress_starting,Empezando... 10%
progress_unmounted,Desmontando disco... 20%
progress_formatted,Formateando disco.. 60%
progress_label_changed,Etiqueta cambiada... 80%
progress_mount_done,Montado.. Completado! 100%
msgbox_cancel_title,Cancelar
msgbox_cancel_body,Estás seguro de que quieres cancelar?
msgbox_success_title,Éxito
msgbox_success_body,Dispositivo USB flasheado con éxito!
msgbox_error_title,Error
msgbox_error_body,Flasheo de dispositivo USB fallido
msgbox_no_image_title,Sin imagen
msgbox_no_image_body,Primero selecciona un archivo de instalación válido.
msgbox_no_device_title,Sin dispositivo
msgbox_no_device_body,Primero selecciona un dispositivo USB válido.
msgbox_usb_found_title,Nuevo dispositivo USB encontrado.
msgbox_usb_found_body,Dispositivo USB encontrado. 
msgbox_no_devices_title,Sin dispositivos. 
msgbox_no_devices_body,"No se encontraron dispositivos USB.

Reconéctalo e intenta de nuevo."
msgbox_scan_error_title,Error de escaneo.
msgbox_scan_error_body,Falló el escaneo de dispositivos USB:
no_usb_found,No se encontraron dispositivos USB
dlg_select_image_title,Seleccione una imagen
dlg_select_image_filter,Imagenes ISO (*.iso);;All Files (*)
about_content,"Lufus es una utilidad de escritura de discos para Linux hecha en Python.

Inspirado por la herramienta original Rufus para Windows. 
Version: 1.0.0
GitHub: github.com/hog185/lufus"
Traducción por/translation by: saber_03  :3 

combo_badblocks_2pass,2 pasadas
combo_badblocks_3pass,3 pasadas
chk_verify_hash,Verificar suma SHA256
input_hash_placeholder,Ingresa el hash SHA256 esperado aquí...
about_subtitle,Herramienta de flash USB
btn_close,Cerrar
btn_ok,OK
combo_boot_default,medios_de_instalación.iso
tooltip_website,Sitio web
settings_label_theme,Tema
status_unmounting_all,Desmontando todas las particiones en {device}...
status_unmounting,Desmontando {part}...
status_format_starting,Iniciando operación de formateo...
status_format_in_progress,Formateando disco...
status_format_complete,¡Formateo completado!
status_format_failed,Formateo FALLIDO. Comprueba el registro anterior para ver el error exacto.
status_flash_error,Error de flasheo: {error}
acc_device,Selector de dispositivo
acc_device_desc,Seleccione el dispositivo USB que desea usar
acc_refresh,Actualizar dispositivos
acc_refresh_desc,Escanear dispositivos USB conectados
acc_boot,Selector de imagen de arranque
acc_boot_desc,Muestra el archivo de imagen seleccionado actualmente
acc_select,Buscar archivo de imagen
acc_image_option,Selector de tipo de imagen
acc_image_option_desc,Elija el tipo de imagen a escribir: Windows, Linux, Otro, o Solo Formatear
acc_volume_label,Campo de etiqueta de volumen
acc_volume_label_desc,Introduzca un nombre para el volumen USB
acc_filesystem,Selector de sistema de archivos
acc_cluster,Selector de tamaño de clúster
acc_flash_option,Selector de método de grabación
acc_quick_format,Casilla de formateo rápido
acc_extended_label,Casilla de etiqueta extendida
acc_bad_blocks,Casilla de comprobación de bloques defectuosos
acc_bad_blocks_passes,Selector de pasadas de comprobación
acc_verify_hash,Casilla de verificación SHA256
acc_hash_input,Campo de hash SHA256 esperado
acc_hash_input_desc,Pegue aquí el hash SHA256 esperado de 64 caracteres
acc_progress,Barra de progreso de operación
acc_start,Iniciar operación
acc_cancel,Cancelar operación
acc_website,Abrir el sitio web de Lufus
acc_about,Acerca de Lufus
acc_settings,Abrir configuración
acc_log,Abrir ventana de registro
